id_protac,linker_canonical,warhead_canonical,e3_ligand_canonical,smiles_canonical
1912,CCCCCCCCCCCCO,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCCCCCCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1913,CCOCCOCCO,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCOCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1914,CCOCCOCCOCCO,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCOCCOCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1915,CCOCCOCCOCCOCCO,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCOCCOCCOCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1916,CCCCCCCCN1C=C(CO)N=N1,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCCCCCCCN2C=C(COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1917,CCOCCOCCN1C=C(CO)N=N1,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCOCCOCCN2C=C(COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1918,CCOCCOCCOCCN1C=C(CO)N=N1,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCOCCOCCOCCN2C=C(COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1919,CCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1920,CCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1921,CCCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1922,CCCCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1923,CCCCCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCCCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
